## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi      weight       npairs   
  5.1235e+00   5.1386e+00   1.6367e+00  -9.5875e-11   9.3192e-12   8.7981e+06   8.7981e+06
  5.3799e+00   5.3299e+00   1.6732e+00   0.0000e+00   1.2037e-11   5.2733e+06   5.2733e+06
  5.6490e+00   5.6600e+00   1.7333e+00   0.0000e+00   1.1701e-11   5.5808e+06   5.5808e+06
  5.9316e+00   5.9284e+00   1.7797e+00   0.0000e+00   1.0446e-11   7.0027e+06   7.0027e+06
  6.2283e+00   6.2238e+00   1.8283e+00   0.0000e+00   1.2662e-11   4.7659e+06   4.7659e+06
  6.5399e+00   6.5602e+00   1.8809e+00   0.0000e+00   1.2212e-11   5.1235e+06   5.1235e+06
  6.8671e+00   6.8967e+00   1.9310e+00   3.9915e-11   4.4379e-12   3.8796e+07   3.8796e+07
  7.2106e+00   7.2319e+00   1.9784e+00  -2.4515e-11   5.6819e-12   2.3668e+07   2.3668e+07
  7.5714e+00   7.5663e+00   2.0236e+00   0.0000e+00   6.4564e-12   1.8330e+07   1.8330e+07
  7.9502e+00   7.9711e+00   2.0757e+00   1.1508e-10   5.6763e-12   2.3715e+07   2.3715e+07
  8.3479e+00   8.3100e+00   2.1174e+00   0.0000e+00   5.6754e-12   2.3722e+07   2.3722e+07
  8.7655e+00   8.7866e+00   2.1731e+00   0.0000e+00   6.4988e-12   1.8092e+07   1.8092e+07
  9.2040e+00   9.1782e+00   2.2167e+00  -1.9397e-11   6.3148e-12   1.9162e+07   1.9162e+07
  9.6645e+00   9.6660e+00   2.2685e+00   0.0000e+00   7.2996e-12   1.4340e+07   1.4340e+07
  1.0148e+01   1.0266e+01   2.3288e+00   4.4215e-11   3.8038e-12   5.2810e+07   5.2810e+07
  1.0656e+01   1.0602e+01   2.3610e+00   1.5976e-11   3.9737e-12   4.8389e+07   4.8389e+07
  1.1189e+01   1.1233e+01   2.4188e+00   2.9790e-11   4.2387e-12   4.2528e+07   4.2528e+07
  1.1748e+01   1.1734e+01   2.4624e+00   4.5306e-11   4.1149e-12   4.5126e+07   4.5126e+07
  1.2336e+01   1.2332e+01   2.5121e+00   0.0000e+00   4.5812e-12   3.6407e+07   3.6407e+07
  1.2953e+01   1.2959e+01   2.5617e+00   1.7905e-10   4.7874e-12   3.3338e+07   3.3338e+07
  1.3601e+01   1.3676e+01   2.6156e+00   3.8223e-11   2.8868e-12   9.1688e+07   9.1688e+07
  1.4282e+01   1.4306e+01   2.6606e+00   3.4783e-11   3.1675e-12   7.6158e+07   7.6158e+07
  1.4996e+01   1.4948e+01   2.7045e+00   1.7114e-11   3.3869e-12   6.6612e+07   6.6612e+07
  1.5746e+01   1.5781e+01   2.7587e+00   7.1928e-11   3.4684e-12   6.3515e+07   6.3515e+07
  1.6534e+01   1.6541e+01   2.8057e+00   3.5535e-13   3.3445e-12   6.8309e+07   6.8309e+07
  1.7361e+01   1.7350e+01   2.8535e+00   4.8476e-12   2.3175e-12   1.4227e+08   1.4227e+08
  1.8230e+01   1.8207e+01   2.9017e+00   3.0117e-11   2.6093e-12   1.1223e+08   1.1223e+08
  1.9142e+01   1.9148e+01   2.9521e+00   1.0132e-11   2.9294e-12   8.9039e+07   8.9039e+07
  2.0100e+01   2.0191e+01   3.0051e+00  -8.7781e-12   2.5379e-12   1.1863e+08   1.1863e+08
  2.1105e+01   2.1045e+01   3.0465e+00   1.1407e-11   1.9410e-12   2.0282e+08   2.0282e+08
  2.2161e+01   2.2164e+01   3.0983e+00   2.0190e-12   2.4919e-12   1.2305e+08   1.2305e+08
  2.3270e+01   2.3301e+01   3.1484e+00   1.4949e-11   2.2384e-12   1.5250e+08   1.5250e+08
  2.4434e+01   2.4407e+01   3.1948e+00  -6.8616e-12   1.7251e-12   2.5677e+08   2.5677e+08
